iter	Passed	Remaining
0	1	145
1	3	169
2	5	162
3	6	154
4	8	170
5	10	156
6	11	148
7	12	144
8	14	141
9	15	140
10	17	137
11	18	136
12	20	135
13	21	130
14	22	127
15	24	127
16	25	122
17	26	118
18	26	115
19	28	112
20	29	109
21	30	106
22	31	104
23	32	101
24	32	98
25	33	96
26	34	94
27	35	92
28	36	90
29	37	88
30	38	85
31	39	83
32	40	81
33	41	80
34	42	78
35	42	76
36	43	74
37	44	72
38	45	71
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	58
47	53	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	59	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	66	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	102	1
99	103	0
