iter	Passed	Remaining
0	149	149038
1	151	75401
2	152	50692
3	154	38349
4	155	30982
5	157	26023
6	158	22503
7	160	19854
8	161	17786
9	162	16129
10	164	14804
11	166	13704
12	168	12762
13	169	11944
14	171	11232
15	172	10606
16	174	10077
17	176	9613
18	177	9176
19	179	8782
20	180	8435
21	182	8114
22	184	7850
23	186	7585
24	187	7330
25	189	7096
26	190	6876
27	192	6673
28	193	6490
29	195	6319
30	196	6155
31	198	6003
32	199	5855
33	201	5717
34	202	5590
35	204	5486
36	206	5383
37	208	5275
38	209	5169
39	211	5068
40	212	4981
41	214	4896
42	216	4820
43	218	4744
44	219	4667
45	221	4593
46	223	4525
47	224	4459
48	226	4397
49	228	4337
50	229	4273
51	231	4212
52	232	4158
53	234	4101
54	235	4047
55	237	4002
56	239	3956
57	240	3907
58	242	3863
59	243	3820
60	245	3776
61	246	3734
62	248	3698
63	250	3662
64	252	3625
65	253	3591
66	255	3555
67	256	3519
68	258	3486
69	260	3454
70	261	3426
71	263	3395
72	265	3365
73	266	3336
74	268	3307
75	269	3279
76	271	3252
77	273	3230
78	274	3205
79	276	3180
80	278	3155
81	279	3130
82	280	3099
83	282	3079
84	284	3058
85	285	3036
86	287	3015
87	289	2996
88	290	2977
89	293	2963
90	294	2945
91	296	2925
92	298	2907
93	299	2888
94	301	2869
95	303	2853
96	304	2837
97	306	2820
98	308	2803
99	309	2785
100	310	2767
101	312	2752
102	314	2736
103	315	2722
104	317	2707
105	319	2691
106	320	2676
107	322	2660
108	323	2645
109	325	2633
110	327	2620
111	328	2607
112	330	2593
113	331	2580
114	333	2565
115	334	2551
116	335	2535
117	337	2524
118	339	2512
119	340	2500
120	342	2489
121	343	2474
122	345	2461
123	346	2450
124	348	2437
125	350	2429
126	351	2416
127	353	2405
128	354	2396
129	356	2386
130	358	2375
131	359	2365
132	361	2357
133	363	2347
134	364	2338
135	366	2329
136	368	2320
137	370	2311
138	372	2304
139	373	2296
140	375	2286
141	376	2275
142	378	2267
143	380	2258
144	381	2249
145	383	2243
146	385	2235
147	386	2227
148	388	2220
149	390	2212
150	392	2204
151	393	2196
152	395	2189
153	397	2181
154	398	2172
155	400	2164
156	401	2156
157	402	2147
158	404	2140
159	406	2134
160	407	2124
161	413	2138
162	414	2130
163	416	2125
164	419	2120
165	420	2114
166	422	2107
167	423	2098
168	425	2091
169	427	2084
170	428	2077
171	430	2071
172	432	2066
173	433	2059
174	435	2052
175	436	2045
176	438	2040
177	440	2035
178	442	2028
179	444	2026
180	446	2019
181	447	2012
182	449	2005
183	450	1999
184	452	1993
185	454	1987
186	455	1982
187	457	1977
188	459	1971
189	462	1970
190	464	1966
191	465	1960
192	467	1955
193	469	1950
194	471	1945
195	473	1941
196	475	1937
197	477	1933
198	478	1927
199	481	1924
200	482	1919
201	485	1916
202	487	1915
203	489	1910
204	491	1905
205	492	1899
206	494	1894
207	496	1890
208	498	1886
209	499	1880
210	501	1875
211	503	1871
212	505	1867
213	508	1866
214	510	1862
215	513	1865
216	515	1860
217	517	1854
218	519	1851
219	520	1846
220	522	1841
221	524	1836
222	525	1832
223	527	1827
224	529	1825
225	531	1821
226	533	1816
227	535	1813
228	537	1809
229	539	1804
230	541	1801
231	543	1797
232	545	1795
233	546	1790
234	548	1785
235	550	1781
236	552	1777
237	554	1774
238	556	1772
239	558	1767
240	559	1762
241	561	1757
242	562	1753
243	564	1749
244	566	1745
245	567	1740
246	569	1736
247	571	1731
248	572	1727
249	574	1724
250	576	1720
251	578	1715
252	579	1711
253	581	1707
254	582	1702
255	584	1698
256	599	1732
257	601	1729
258	605	1732
259	608	1730
260	610	1727
261	611	1723
262	613	1720
263	615	1715
264	617	1712
265	618	1707
266	620	1703
267	622	1699
268	624	1695
269	625	1691
270	626	1686
271	628	1682
272	629	1677
273	631	1673
274	633	1669
275	635	1666
276	636	1662
277	638	1658
